,chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,id,in_dreamteam,news,news_added,now_cost,photo,points_per_game,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text
59,,,111317,0,0,0,0,0,3,1.5,,0,David,0.0,60,False,,,55,111317.jpg,0.0,Brooks,0.3,False,,a,3,91,0,0,0,0,0,0.0,0.0,Brooks,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,499,212,499,213,497,213,500,213,,,,,,
60,,,128309,0,0,0,0,0,3,1.5,,0,Jamal,0.0,61,False,,,55,128309.jpg,0.0,Lowe,0.1,False,,a,3,91,0,0,0,0,0,0.0,0.0,Lowe,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,500,213,501,214,500,214,501,214,,,,,,
61,,,128340,0,0,0,0,0,4,1.0,,0,Kieffer,0.0,62,False,,,55,128340.jpg,0.0,Moore,0.3,False,,a,3,91,0,0,0,0,0,0.0,0.0,Moore,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,501,48,502,48,501,47,502,48,,,,,,
62,,,133845,0,0,0,0,0,3,1.0,,0,Emiliano,0.0,63,False,,,50,133845.jpg,0.0,Marcondes,0.0,False,,a,3,91,0,0,0,0,0,0.0,0.0,Marcondes,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,471,193,470,194,465,194,472,194,,,,,,
63,,,152551,0,0,0,0,0,3,1.0,,0,Jefferson,0.0,64,False,,,50,152551.jpg,0.0,Lerma Solís,0.1,False,,a,3,91,0,0,0,0,0,0.0,0.0,Lerma,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,472,194,471,195,467,195,473,195,,,,,,
64,,,154131,0,0,0,0,0,2,1.3,,0,Jack,0.0,65,False,,,45,154131.jpg,0.0,Stacey,0.1,False,,a,3,91,0,0,0,0,0,0.0,0.0,Stacey,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,423,164,420,164,407,164,426,164,,,,,,
65,,,154566,0,0,0,0,0,4,1.3,,0,Dominic,0.0,66,False,,,60,154566.jpg,0.0,Solanke,2.0,False,,a,3,91,0,0,0,0,0,0.0,0.0,Solanke,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,513,51,513,51,513,51,513,51,,,,,1.0,
66,,,155408,0,0,0,0,0,3,1.0,,0,Lewis,0.0,67,False,,,50,155408.jpg,0.0,Cook,0.1,False,,a,3,91,0,0,0,0,0,0.0,0.0,Cook,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,474,196,473,197,469,197,475,197,,,,,,
67,,,156687,0,0,0,0,0,3,0.5,,0,Ben,0.0,68,False,,,45,156687.jpg,0.0,Pearson,0.2,False,,a,3,91,0,0,0,0,0,0.0,0.0,Pearson,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,425,172,422,174,410,170,428,173,,,,,,
68,,,158499,0,0,0,0,0,3,1.5,,0,Ryan,0.0,69,False,,,55,158499.jpg,0.0,Christie,0.1,False,,a,3,91,0,0,0,0,0,0.0,0.0,Christie,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,502,214,503,215,502,215,503,215,2.0,,3.0,,,
69,,,168991,0,0,0,0,0,3,1.5,,0,Philip,0.0,70,False,,,55,168991.jpg,0.0,Billing,0.3,False,,a,3,91,0,0,0,0,0,0.0,0.0,Billing,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,503,215,504,216,503,216,504,216,,,1.0,,,
70,,,223911,0,0,0,0,0,2,1.3,,0,Chris,0.0,71,False,,,45,223911.jpg,0.0,Mepham,0.1,False,,a,3,91,0,0,0,0,0,0.0,0.0,Mepham,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,442,175,439,175,430,175,445,175,,,,,,
71,,,229600,0,0,0,0,0,1,1.7,,0,Mark,0.0,72,False,,,45,229600.jpg,0.0,Travers,0.5,False,,a,3,91,0,0,0,0,0,0.0,0.0,Travers,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,443,51,440,46,431,39,446,51,,,,,,
72,,,235530,0,0,0,0,0,2,1.3,,0,Lloyd,0.0,73,False,,,45,235530.jpg,0.0,Kelly,0.1,False,,a,3,91,0,0,0,0,0,0.0,0.0,Kelly,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,444,176,441,176,432,176,447,176,,,,,,
